PubchemID,Cluster
9600423,1
54688679,1
6830,1
5289289,1
445072,1
5311325,1
448971,1
444899,1
10972974,1
5327013,1
5327012,1
2468,1
33776,1
25058133,1
5857,1
3369,2
6057,2
750,2
1130,2
134601,2
6267,2
3476,2
38521,2
4463,2
1775,2
5656,2
4659569,2
4201,2
6337614,2
31072,2
4497,2
2576,2
4926,2
60750,2
8730,2
37632,2
54675779,2
441401,2
5291,2
3372,2
5320,2
60961,2
5577,2
37720,2
5070,2
1349907,2
5281071,2
3955,2
2794,2
7697,2
5852,2
151171,2
13769,2
5734,2
9444,2
38904,2
3410,2
77991,2
156419,2
5029,2
60937,2
3151,2
3821,2
4168,2
208908,2
888,2
9565,2
68873,2
5487427,2
68723,2
33887,2
2206,2
1615,2
31721,2
62156,2
98527,2
222865,2
71371,2
446611,2
444425,2
4939,2
440271,2
445032,2
8172,2
445227,2
448993,2
8988,2
447096,2
17754166,2
5288658,2
54369,2
5353370,2
5362422,2
46936829,2
5288464,2
11840920,2
638035,2
9942725,2
134019,2
151174,2
4992,2
1993,2
121396,2
10133,2
16130957,2
24199,2
448677,2
446967,2
25271580,2
6540261,2
445858,2
46937094,2
11987556,2
446977,2
5289053,2
1360,2
5189,2
4369485,2
644013,2
3781,2
3604,2
40704,2
9913,2
179344,2
24856436,2
134664,2
10230,2
30951,2
2541,2
298,2
1805,2
2094,2
2274,2
2307,2
2443,2
2520,2
2522,2
2786,2
2978,2
3000,2
3008,2
3043,2
3056,2
3060,2
3222,2
3368,2
3370,2
3382,2
3384,2
3388,2
3425,2
3461,2
3519,2
3636,2
3640,2
3954,2
4036,2
4042,2
4043,2
4140,2
4159,2
4428,2
4509,2
4536,2
4635,2
4885,2
4889,2
4894,2
4895,2
4896,2
4900,2
5257,2
5407,2
5408,2
5409,2
5466,2
5525,2
5636,2
5771,2
5877,2
6238,2
10547,2
12460,2
16230,2
18140,2
20585,2
20969,2
24642,2
32603,2
37392,2
40973,2
41774,2
42615,2
51577,2
54158,2
62819,2
62956,2
73658,2
105145,2
123611,2
123623,2
145068,2
206527,2
219090,2
358641,2
444006,2
