PubchemID	Cluster
5721	1
16533	1
93860	1
96312	1
160051	1
5251896	1
5479141	1
6918313	1
25077993	1
44201343	1
242	1
2354	2
54746	2
3033538	2
2160	2
5578	2
2088	2
4030	2
18283	2
4493	2
119031	2
2381	2
60815	2
148192	2
5493381	2
123619	2
128882	2
446659	2
131704197	2
11914	2
447199	2
5288783	2
447873	2
444718	2
7478	2
5288792	2
65533	2
9543424	2
186	2
56069	2
188350	2
439326	2
657141	2
11979	2
996	2
446274	2
448662	2
447049	2
446394	2
8642	2
440996	2
5287870	2
5287648	2
446586	2
5497056	2
447014	2
68368	2
451597	2
159324	2
57515973	2
133090	2
5565	2
46937046	2
46937057	2
1548970	2
131704310	2
185460	2
85	2
3040	2
3355	2
3364	2
3449	2
3685	2
4736	2
5052	2
3369	3
6057	3
750	3
1130	3
134601	3
6267	3
3476	3
38521	3
5353853	3
1775	3
5282226	3
104758	3
4659569	3
4201	3
3162	3
6337614	3
31072	3
4497	3
2576	3
4926	3
153941	3
8730	3
37632	3
54675779	3
46936176	3
5291	3
3372	3
5320	3
60961	3
5577	3
37720	3
50294	3
5070	3
1349907	3
5281071	3
3117	3
5361323	3
2794	3
1549008	3
5852	3
151171	3
13769	3
5734	3
9444	3
6540478	3
3410	3
77991	3
156419	3
4927	3
4908	3
4162	3
5029	3
60937	3
3151	3
3821	3
4168	3
208908	3
888	3
9565	3
68873	3
5487427	3
68723	3
33887	3
2206	3
1615	3
31721	3
62156	3
98527	3
222865	3
71371	3
131704176	3
2526	3
444425	3
4939	3
440271	3
445032	3
5288538	3
445227	3
441046	3
448993	3
8988	3
447096	3
17754166	3
46936680	3
5288658	3
54369	3
5353370	3
131704261	3
46936829	3
445638	3
5288464	3
11840920	3
638035	3
5601	3
2350	3
5282219	3
9977819	3
134019	3
6918493	3
46705423	3
151174	3
4992	3
1993	3
5335	3
121396	3
10133	3
16130957	3
24199	3
448677	3
446967	3
25271580	3
6540261	3
445858	3
46937094	3
439551	3
11840966	3
446977	3
5289053	3
1360	3
443833	3
4369485	3
644013	3
10247560	3
3781	3
3604	3
21109	3
40704	3
54708735	3
1548942	3
68861	3
11967809	3
24856436	3
3822	3
134664	3
10230	3
30951	3
2541	3
107994	3
105145	3
5744	3
636398	3
11234049	3
102232	3
298	3
1805	3
2085	3
2274	3
2307	3
2443	3
2512	3
2522	3
2786	3
2978	3
3000	3
3008	3
3043	3
3056	3
3060	3
3222	3
3368	3
3370	3
3382	3
3384	3
3388	3
3425	3
3461	3
3512	3
3636	3
3640	3
3954	3
4036	3
4042	3
4043	3
4140	3
4159	3
4428	3
4513	3
4635	3
4885	3
4889	3
4894	3
4895	3
4896	3
4900	3
5257	3
5407	3
5408	3
5409	3
5466	3
5525	3
5636	3
5771	3
5877	3
10547	3
12460	3
16230	3
18140	3
20585	3
20969	3
23993	3
32603	3
37392	3
40703	3
41774	3
42615	3
51577	3
54158	3
62819	3
73658	3
104849	3
123611	3
123623	3
135113	3
206527	3
358641	3
444006	3
4474778	3
4517618	3
2645	3
2735	3
3641	3
5772	3
281	3
16130295	4
22524140	4
16129704	4
45267103	4
448601	4
3007	4
71415	4
54841	4
43672	4
2148	4
44424639	4
3559	4
5484727	4
4543	4
5328	4
3435	4
64139	4
