PubchemID,Cluster
3476,3
38521,3
5353853,3
1775,3
5656,3
4659569,3
4201,3
148211,3
31072,3
2576,3
4926,3
60750,3
8730,3
37632,3
5291,3
3372,3
5320,3
60961,3
37720,3
1349907,3
5281071,3
3955,3
2794,3
7697,3
4727,3
151171,3
13769,3
5734,3
38904,3
3410,3
77991,3
156419,3
5029,3
4829,3
3151,3
3821,3
4168,3
208908,3
888,3
9565,3
68873,3
3086655,3
33887,3
2206,3
98527,3
222865,3
71371,3
101989,3
4939,3
445228,3
445032,3
6323374,3
446056,3
17753978,3
5287556,3
17754166,3
46936733,3
129236,3
5362422,3
85466,3
5288464,3
11840920,3
4992,3
1993,3
121396,3
10133,3
448677,3
11149479,3
137195252,3
24963048,3
6466,3
11840966,3
446977,3
9543420,3
4369485,3
3781,3
2148,4
20279,4
54841,4
43672,4
6024,4
5484727,4
4543,4
2761,4
5328,4
28864,4
441401,4
4030,4
4493,4
4873,4
2099,4
229455,4
688561,4
5468,4
447371,4
5478838,4
447873,4
46936422,4
46936428,4
7478,4
46936563,4
5289037,4
7000965,4
53708,4
213053,4
9838022,4
219078,4
5709,4
2366,4
11500273,4
25181321,4
6914624,4
9842606,4
11957393,4
6857702,4
12148754,4
2352168,4
848641,4
24875320,4
46937113,4
16750094,4
15991588,4
11955614,4
25023881,4
25203945,4
73333,4
2160,5
2713,5
16362,5
46936539,5
628327,5
5287739,5
97297,6
5391,6
2578,6
40839,6
4046,6
945,6
5035,6
449171,6
3156,6
2803,6
6917698,6
4935,6
60877,6
3049,6
77992,6
54585,6
27661,6
4870,6
53461739,6
4631,6
5325,6
23700,6
4369343,6
5312852,6
5287488,6
66898,6
448841,6
65632,6
3448,6
3038498,6
6115,6
16046126,6
11560856,6
24180719,6
24812720,6
24836812,6
25011729,6
23653503,6
11348631,6
6914595,6
444797,6
24752833,6
4708,6
23586145,6
23586146,6
23645578,6
24963033,6
11349402,6
5288672,6
4477130,6
87031,6
9926933,6
5289332,6
656909,6
4369141,6
121026,6
15574941,6
169371,6
11707110,6
644241,7
16051933,7
1051,7
77993,7
71415,7
70789197,7
3105,7
31304,7
3520,7
18283,7
70789201,7
4054,7
4891,7
3366,7
5284596,7
2444,7
72287,7
448436,7
87901,7
46936514,7
449394,7
984,7
5288685,7
446049,7
135565050,7
108092,7
5310967,7
1727,7
244,7
1082702,7
135431462,7
6914626,7
46937051,7
6918710,7
16070039,7
11229234,7
23653531,7
46937091,7
24901723,7
12106168,7
448979,7
17749735,7
46937115,7
46937119,7
5327067,8
5314,8
5360515,8
3059,8
3767,8
896,8
3019,8
1978,8
3343,8
9923,8
444294,8
448269,8
447735,8
46936476,8
996,8
46936725,8
5288371,8
5438,8
46936821,8
46936839,8
1511,8
46936885,8
136254606,8
446244,8
46936927,8
448009,8
192708,8
443940,8
24180718,8
22850133,8
44129620,8
11441375,8
10343728,8
4369594,8
54682463,8
4474224,8
25243853,8
25134253,8
5795340,8
11149906,8
9549259,8
46937098,8
11979006,8
11531308,8
449003,8
9547890,8
6006216,8
44129629,8
44129630,8
44129631,8
24856357,8
447359,8
5289314,8
124075,8
4914,9
5280754,9
60846,9
2082,9
10917,9
55466,9
2720,9
259331,9
60921,9
4357,9
3260017,9
5880,9
447076,9
46936631,9
46936706,9
4369171,9
1758,9
129891,9
46937028,9
1712,9
25113124,9
135399748,9
4300,9
1473242,9
9821178,9
9547940,9
6102781,9
10134493,9
9933197,9
17748441,9
24894153,9
11987860,9
447911,9
46937048,9
2776424,9
9547959,9
46937053,9
25210476,9
25049750,9
6540289,9
10286462,9
23658582,9
448912,9
25174099,9
131505,9
5288064,9
5288066,9
446845,9
24801862,9
736407,9
9912519,9
4369,9
6852129,9
131536,10
3393,11
4993,11
5215,11
44424639,11
5978,11
441350,11
1986,11
5479,11
4908,11
11047943,11
39765,11
70789204,11
6419780,11
1005,11
1549098,11
6602106,11
188350,11
71077,11
46936882,11
46936968,11
448022,11
23305354,11
42615253,11
45480634,11
1548992,11
7019268,12
6540267,13
5071,13
38853,13
443884,13
135413535,13
7419,13
449014,13
205131,13
5311398,13
3025955,13
5323,13
90206,13
2079916,13
447219,13
24798741,13
654376,13
24752832,13
10364826,13
44422489,13
14899645,13
11338033,13
135566412,13
2972,13
46937043,14
60169,14
5281004,14
516892,14
447488,14
5287792,14
444235,14
82148,14
24861080,14
135449326,14
324690,14
22489160,14
444144,14
16122582,14
4722579,14
10042950,14
24865390,14
10235,15
5311128,15
3055,15
5288814,15
446127,15
46936954,15
46936964,15
104850,15
24779724,15
445713,16
2343,16
46936302,16
446871,16
46936610,16
1102,16
9963148,16
9549225,16
135566415,16
73425383,16
447962,17
2474,17
4095,17
166548,17
60613,17
8280,17
35330,17
33166,17
444965,17
445443,17
5287571,17
46936360,17
136254581,17
445715,17
46936479,17
13134933,17
5288600,17
656968,17
46936823,17
46936942,17
2014,17
71353,17
5340,17
46937027,17
656954,17
9549180,17
135446210,17
6914621,17
447695,17
9927355,17
9543517,17
510684,17
24762195,17
656902,17
445920,17
46937179,17
135522417,18
6287,18
5478,18
24083,18
4934,18
5287990,18
46936357,18
5453,18
6857686,18
1150567,18
12773795,18
1723,18
3157,19
71398,19
54675779,19
656719,19
3305,19
2484,19
10101,19
46937026,19
11434515,19
60149,20
6116,20
4020,20
4943,20
1714,20
46936633,20
135509077,20
119205,20
11492186,20
15602701,20
233979,20
24905144,20
15991577,20
447110,20
446605,21
5311068,21
5289354,21
449593,21
5288101,21
447021,21
292661,21
46936436,21
46936509,21
4634231,21
5287550,21
447514,21
46936757,21
23648296,21
444763,21
5313335,21
46937004,21
3080,21
25011732,21
20843156,21
5287785,21
135530418,21
11368987,21
46937090,21
5280953,21
46937107,21
11987878,21
5288998,21
44141939,21
13126,22
6249,22
5487,22
5311309,22
4868,22
3827,22
4037,22
5078,22
6098,22
5735,22
5002,22
38103,22
21233,22
441289,22
50192,22
10668,22
3003157,22
3380,22
65355,22
6292,22
4057,22
153270,22
1983,23
5284592,23
2796,23
2161,23
2585,23
3354,23
5284359,23
54676537,23
17754080,23
1535935,23
46936929,23
108143,23
57537,23
135449325,23
25011730,23
46937085,23
23729147,23
135566363,23
657061,23
15942652,24
4369491,24
5326966,24
5289111,24
219077,24
46937054,24
445651,24
11957417,24
181137,24
11485425,24
8179,24
16750074,24
3783,24
449013,25
158781,25
3345,25
7699,25
5282165,25
65389,25
447701,25
447229,25
156422,25
75791,25
5289333,25
9844011,25
9925908,25
92249,25
11987888,25
5003498,25
3108,26
5284371,26
4499,26
3440,26
4199,26
3749,26
44093,26
6000,26
451668,26
5870,27
1201549,27
135484646,27
457193,27
2754,27
5311066,27
64972,27
158795,27
10180,27
447912,27
15942672,27
25147494,27
650361,28
54676228,28
31477,28
46936220,28
46936559,28
5327073,28
444020,28
23647357,28
